ds,yhat,yhat_lower,yhat_upper
17-09-2014,-2962.955512,-11324.92413,5328.934075
18-09-2014,-3002.588816,-12080.07569,4977.34547
19-09-2014,-2979.0323,-11384.73746,5286.714119
20-09-2014,-2956.885382,-11294.22885,5081.384959
21-09-2014,-2914.6825,-11170.0956,4892.271887
22-09-2014,-2829.969776,-11099.54318,5428.999845
23-09-2014,-2852.547668,-10629.14164,5535.236852
24-09-2014,-2718.149838,-11185.05481,5295.7899
25-09-2014,-2751.717161,-11200.7816,5288.634626
26-09-2014,-2728.844344,-10275.91477,5451.933543
27-09-2014,-2713.554253,-11215.07562,5866.386475
28-09-2014,-2683.642274,-11338.71206,5334.81584
29-09-2014,-2615.774039,-11465.85607,5176.157589
30-09-2014,-2658.75295,-11050.11651,5766.952719
01-10-2014,-2547.227024,-11352.96044,4949.758244
02-10-2014,-2604.993182,-10844.2969,6117.532342
03-10-2014,-2606.475606,-10775.78056,5321.111746
04-10-2014,-2614.532356,-10980.73415,5821.50066
05-10-2014,-2605.831676,-11275.93755,5157.758673
06-10-2014,-2555.980424,-10610.63062,5589.582675
07-10-2014,-2612.820211,-10778.17561,4805.657481
08-10-2014,-2510.159989,-10774.23835,5453.232051
09-10-2014,-2571.102508,-10987.21829,5630.441058
10-10-2014,-2569.540676,-10873.41904,6068.633774
11-10-2014,-2567.977552,-11452.78433,6114.106381
12-10-2014,-2542.91106,-11029.29949,5730.158442
13-10-2014,-2469.965678,-10803.73177,5501.192379
14-10-2014,-2497.186647,-10673.27034,5653.139888
15-10-2014,-2358.76554,-11103.46118,5606.351947
16-10-2014,-2378.35489,-10711.33892,5514.461052
17-10-2014,-2330.548269,-10597.82237,6133.586238
18-10-2014,-2278.680095,-10584.26942,5671.755323
19-10-2014,-2200.186834,-10672.64251,5756.927971
20-10-2014,-2071.712611,-10127.59838,6191.694529
21-10-2014,-2042.375492,-9346.101834,6208.583282
22-10-2014,-1847.464151,-10134.41236,6053.282762
23-10-2014,-1811.723403,-10397.61605,6931.908592
24-10-2014,-1710.805868,-9749.614199,5826.058233
25-10-2014,-1609.04481,-9247.704764,6425.004204
26-10-2014,-1484.790586,-9177.741609,6767.382376
27-10-2014,-1315.494362,-9993.060749,6270.593428
28-10-2014,-1250.955967,-9802.863928,6618.432811
29-10-2014,-1027.006025,-9081.783167,7366.322534
30-10-2014,-968.7812127,-9340.637311,7797.348337
31-10-2014,-852.1701172,-9127.904555,7708.381901
01-11-2014,-741.5847881,-8980.367394,7345.604173
02-11-2014,-615.3003902,-9003.149191,7393.045253
03-11-2014,-450.5463884,-9004.610877,7932.427409
04-11-2014,-396.7658263,-8187.726872,7955.747944
05-11-2014,-189.3124059,-8210.384342,8252.541546
06-11-2014,-152.7436813,-8542.915279,7985.677365
07-11-2014,-62.28721285,-8175.905659,8095.451383
08-11-2014,18.36588135,-8411.286721,8277.668914
09-11-2014,111.6983029,-8332.781464,8117.607064
10-11-2014,241.2521736,-8375.370544,7916.23945
11-11-2014,258.3470268,-7333.508622,9209.95877
12-11-2014,428.3611822,-7484.454371,8474.991284
13-11-2014,427.4188372,-8355.529364,8374.899221
14-11-2014,480.9066094,-7872.157736,8659.48672
15-11-2014,525.6655815,-7633.334612,8826.377127
16-11-2014,584.6175673,-7269.678188,8420.70011
17-11-2014,681.6431645,-7052.889253,9178.652125
18-11-2014,668.2959215,-7565.558078,9127.583856
19-11-2014,810.0836377,-7421.445267,9268.951976
20-11-2014,783.1590405,-7996.350194,8742.541091
21-11-2014,812.8433567,-6804.601422,8868.320897
22-11-2014,835.8285101,-7850.401722,9651.795043
23-11-2014,874.8162322,-7088.846537,9169.39754
24-11-2014,953.4111484,-6917.049015,8443.756501
25-11-2014,922.8515834,-7070.345853,9488.942554
26-11-2014,1048.308482,-7551.682991,9065.75847
27-11-2014,1005.59403,-7420.362135,8691.780043
28-11-2014,1019.702844,-7030.179121,8930.363368
29-11-2014,1027.030798,-7392.515283,10044.39865
30-11-2014,1050.029196,-7093.84011,9379.359404
01-12-2014,1112.110778,-7076.335594,9431.956682
02-12-2014,1064.39085,-6782.681042,9174.350072
03-12-2014,1171.993551,-6748.261334,9610.438674
04-12-2014,1110.764558,-7678.26396,9172.748571
05-12-2014,1105.81295,-7135.431227,9435.677183
06-12-2014,1093.727251,-7530.479051,9307.710295
07-12-2014,1097.223435,-6625.619547,9402.455181
08-12-2014,1140.041604,-6993.099663,9398.532423
09-12-2014,1073.674911,-7640.341939,9403.537962
10-12-2014,1163.661181,-7031.615838,9264.395538
11-12-2014,1086.279035,-7092.325538,9533.169552
12-12-2014,1067.071806,-7367.122299,9410.570969
13-12-2014,1043.044914,-6999.886514,9351.643165
14-12-2014,1037.295163,-7149.602505,9194.920058
15-12-2014,1073.889322,-7465.822708,9403.609144
16-12-2014,1004.576274,-6634.846055,9432.320453
17-12-2014,1095.063797,-7371.966588,9208.990969
18-12-2014,1021.702379,-7548.984682,8983.841025
19-12-2014,1009.999865,-7260.968691,9480.642052
20-12-2014,996.8130324,-6754.418981,9494.580763
21-12-2014,1004.974839,-6447.839987,9491.213123
22-12-2014,1058.174934,-7173.066377,9245.647489
23-12-2014,1007.677756,-7302.319096,9554.252079
24-12-2014,1118.609214,-6943.603056,9066.750149
25-12-2014,1066.654162,-7563.063241,9089.083058
26-12-2014,1076.588134,-7045.600746,9543.269745
27-12-2014,1084.48898,-7457.854306,9136.832376
28-12-2014,1112.386592,-7364.249477,9496.926125
29-12-2014,1183.167673,-6745.014424,9923.455552
30-12-2014,1147.31913,-7481.052498,9579.093235
31-12-2014,1269.240333,-6892.91368,9236.516662
01-01-2015,1223.96564,-7143.638496,9199.201369
02-01-2015,1235.71984,-6487.512625,9139.177221
03-01-2015,1240.151379,-6819.557965,9679.269141
04-01-2015,1259.000819,-6856.07026,9228.570305
05-01-2015,1315.020809,-7343.016379,9064.581207
06-01-2015,1258.730569,-6959.499825,9344.562091
07-01-2015,1354.734665,-6600.969603,9603.673036
08-01-2015,1278.447145,-7307.52928,9410.087861
09-01-2015,1254.643469,-7413.539872,9296.576945
10-01-2015,1219.685076,-6456.493541,10031.808
11-01-2015,1196.174127,-6978.342663,10667.76721
12-01-2015,1207.854959,-7038.589298,9377.161719
13-01-2015,1106.34568,-7681.976676,10014.83185
14-01-2015,1157.430214,-7027.486611,8996.726738
15-01-2015,1037.752537,-6720.114668,8911.84632
16-01-2015,973.336347,-7455.994272,8335.405317
17-01-2015,901.7758374,-7423.595965,9121.50036
18-01-2015,846.85609,-7381.358813,8947.247262
19-01-2015,833.4205595,-6857.303085,8925.97318
20-01-2015,714.0700722,-8052.087209,8483.040449
21-01-2015,755.4246056,-6705.599188,9266.734178
22-01-2015,634.7904965,-7930.869684,8448.222014
23-01-2015,578.6571544,-8106.239856,8550.567738
24-01-2015,524.8697005,-7534.128427,9579.546351
25-01-2015,497.236632,-6533.477889,8719.552833
26-01-2015,520.390845,-7633.343271,8678.469917
27-01-2015,446.4868967,-7653.020494,7973.760308
28-01-2015,541.46959,-8099.775439,8596.882561
29-01-2015,481.7528175,-7556.620459,9102.546715
30-01-2015,492.7343606,-8228.993317,8338.035918
31-01-2015,510.992307,-7908.54495,8652.921183
01-02-2015,558.9216303,-7780.954007,8550.765809
02-02-2015,659.6281874,-7770.017349,8854.676019
03-02-2015,663.6640087,-6847.790002,8452.833032
04-02-2015,835.3343361,-7618.956765,9383.95199
05-02-2015,849.4179773,-7520.192724,8694.57597
06-02-2015,929.7237356,-6795.808272,9638.294086
07-02-2015,1011.32782,-6818.849865,9114.81283
08-02-2015,1115.249654,-7152.641372,9927.406082
09-02-2015,1263.382256,-6866.759798,9530.68084
10-02-2015,1305.260033,-6457.440308,9630.619678
11-02-2015,1504.393539,-6157.83363,9952.270478
12-02-2015,1535.011935,-6836.853328,9498.774433
13-02-2015,1620.63528,-6409.119355,10054.78805
14-02-2015,1696.321052,-6443.379123,10230.47977
15-02-2015,1783.342017,-6595.540293,9281.013361
16-02-2015,1904.111489,-6054.603322,10396.49363
17-02-2015,1908.938927,-5606.749416,10286.70697
18-02-2015,2062.345662,-5980.974675,10419.16714
19-02-2015,2039.781992,-5428.18275,10646.67666
20-02-2015,2066.168386,-5907.011755,10400.38642
21-02-2015,2078.10602,-6323.862448,9916.742164
22-02-2015,2098.514707,-5709.173422,10440.24349
23-02-2015,2151.515307,-6004.466137,10797.89423
24-02-2015,2089.140736,-6178.621974,10133.4435
25-02-2015,2177.606536,-5839.588823,10461.21499
26-02-2015,2093.983494,-5622.329321,10750.45967
27-02-2015,2064.696239,-5945.261665,9884.978023
28-02-2015,2027.694219,-6017.570879,10060.63749
01-03-2015,2007.054187,-6038.726674,10034.05747
02-03-2015,2027.83228,-6142.297788,10361.51536
03-03-2015,1942.750622,-6422.468999,10110.85683
04-03-2015,2018.450118,-6436.902265,10235.07796
05-03-2015,1932.152397,-6070.375879,10125.86454
06-03-2015,1910.155166,-6150.980066,9911.495571
07-03-2015,1890.007446,-6869.171395,9940.152983
08-03-2015,1895.123734,-6476.339409,10109.13127
09-03-2015,1949.654853,-6078.118159,10998.41894
10-03-2015,1905.199915,-6308.496128,9811.285786
11-03-2015,2027.090368,-6203.921622,9929.904545
12-03-2015,1991.088243,-6595.586801,10695.27958
13-03-2015,2021.921842,-6497.343023,10262.1682
14-03-2015,2055.504265,-6245.480498,9988.121996
15-03-2015,2113.592594,-5894.370788,10539.82151
16-03-2015,2218.704287,-6193.630398,10447.70712
17-03-2015,2220.873927,-6543.066323,10773.23694
18-03-2015,2383.980088,-5599.949128,10086.60401
19-03-2015,2382.48323,-5484.868245,10725.79778
20-03-2015,2439.99681,-6154.472452,10504.64501
21-03-2015,2491.535986,-5716.762187,10684.9311
22-03-2015,2558.200956,-5929.143592,10095.3214
23-03-2015,2662.110788,-6050.138824,10618.21994
24-03-2015,2653.170445,-5585.721433,10845.35853
25-03-2015,2795.400473,-5404.702229,10779.5495
26-03-2015,2763.670221,-5292.429106,10975.1904
27-03-2015,2782.256908,-5787.996608,11094.81823
28-03-2015,2787.075286,-5252.336834,10851.44501
29-03-2015,2800.335473,-5573.05191,12060.39444
30-03-2015,2845.445539,-5605.337764,11028.33108
31-03-2015,2773.742442,-5371.376034,10738.75419
01-04-2015,2850.781794,-5407.912331,11458.85987
02-04-2015,2753.028448,-5146.205774,11459.82899
03-04-2015,2706.371425,-5419.667365,10998.40866
04-04-2015,2648.309159,-5906.274995,10201.36754
05-04-2015,2602.563868,-6084.490283,11089.1828
06-04-2015,2593.94287,-6063.624925,10704.04515
07-04-2015,2475.031539,-5697.372407,10863.9455
08-04-2015,2512.449486,-5629.124569,10590.83868
09-04-2015,2383.512828,-6098.384176,10268.676
10-04-2015,2314.726863,-6629.786925,11095.00291
11-04-2015,2243.955715,-6488.939336,10309.73216
12-04-2015,2195.028173,-5943.56948,10396.40738
13-04-2015,2192.59773,-6449.651544,11002.28687
14-04-2015,2088.841549,-6283.386245,10288.47231
15-04-2015,2149.7297,-5988.839977,10625.69342
16-04-2015,2051.707159,-5863.705985,10469.83273
17-04-2015,2020.212276,-6290.438171,9813.226972
18-04-2015,1991.877528,-5969.61277,10178.7875
19-04-2015,1989.170864,-6256.843513,10264.92033
20-04-2015,2035.294635,-6786.253452,10929.2278
21-04-2015,1980.925697,-5837.77335,10117.36224
22-04-2015,2090.52687,-5773.659366,10231.88845
23-04-2015,2039.071034,-5841.331771,9944.182051
24-04-2015,2050.600372,-6104.384268,10622.21928
25-04-2015,2060.46543,-6592.634923,10684.23812
26-04-2015,2090.001229,-6440.669155,10345.05243
27-04-2015,2161.456434,-6518.009932,9992.981511
28-04-2015,2124.758371,-6268.763969,10723.44674
29-04-2015,2243.843358,-5588.865594,10628.78811
30-04-2015,2193.393156,-5805.478092,10266.18357
01-05-2015,2197.399728,-6227.020333,10271.01763
02-05-2015,2191.402868,-6274.155533,10212.62185
03-05-2015,2197.158009,-5685.683183,10793.04712
04-05-2015,2237.550529,-5869.558409,10591.51302
05-05-2015,2163.33978,-6271.74555,10644.39015
06-05-2015,2239.46298,-5984.342279,10989.98975
07-05-2015,2141.740573,-6306.623699,10067.43773
